Time of Measurement,Weight(lb),BMI,Body Fat(%),Fat-free Body Weight(lb),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Skeletal Muscle(%),Muscle Mass(lb),Bone Mass(lb),Protein(%),BMR(kcal),Metabolic Age,Remarks
"July 4, 2022 9:34:26 AM",164.2,24.3,12.7,143.4,10.7,7.0,63.0,56.4,136.2,7.2,19.9,1774.0,19.0,--
"July 3, 2022 10:32:46 AM",163.0,24.1,12.5,142.4,10.6,6.0,63.1,56.5,135.4,7.2,19.9,1765.0,19.0,--
"July 1, 2022 9:34:00 AM",165.2,24.5,--,--,--,--,--,--,--,--,--,--,--,--
"June 16, 2022 8:18:29 PM",167.2,24.8,13.0,145.4,10.9,7.0,62.8,56.2,138.0,7.2,19.8,1793.0,20.0,--
"May 28, 2022 11:05:15 AM",169.8,25.1,13.3,147.0,11.1,7.0,62.6,56.0,139.8,7.4,19.8,1811.0,20.0,--
"May 24, 2022 9:57:46 AM",171.2,25.4,13.5,148.2,11.3,8.0,62.4,55.9,140.6,7.4,19.7,1821.0,20.0,--
"May 5, 2022 8:55:52 AM",174.0,25.8,13.8,150.0,11.5,8.0,62.2,55.7,142.4,7.4,19.6,1839.0,20.0,--
"April 22, 2022 7:20:31 PM",171.2,25.4,13.5,148.0,11.3,8.0,62.4,55.9,140.6,7.4,19.7,1820.0,20.0,--
"April 14, 2022 12:49:44 PM",172.8,25.6,13.7,149.2,11.4,8.0,62.3,55.7,141.8,7.4,19.7,1831.0,20.0,--
"April 13, 2022 10:54:59 AM",175.2,25.9,13.9,150.8,11.6,8.0,62.1,55.6,143.0,7.6,19.6,1846.0,20.0,--
"April 9, 2022 12:04:35 PM",175.0,25.9,13.9,150.6,11.5,8.0,62.1,55.6,143.0,7.6,19.6,1845.0,20.0,--
"April 6, 2022 8:30:15 AM",175.0,25.9,13.9,150.6,11.6,8.0,62.1,55.6,143.0,7.6,19.6,1845.0,20.0,--
"April 2, 2022 11:45:52 AM",176.0,26.1,14.0,151.2,11.6,8.0,62.1,55.5,143.8,7.6,19.6,1851.0,20.0,--
"March 28, 2022 7:55:05 AM",176.4,26.1,14.1,151.4,11.7,8.0,62.0,55.5,144.0,7.6,19.6,1854.0,20.0,--
"March 27, 2022 10:37:50 AM",177.4,26.3,14.2,152.2,11.8,8.0,61.9,55.4,144.6,7.6,19.6,1860.0,20.0,--
"March 22, 2022 9:11:03 AM",177.0,26.2,14.1,151.8,11.7,8.0,62.0,55.5,144.2,7.6,19.6,1857.0,20.0,--
"March 18, 2022 1:00:27 PM",177.8,26.3,14.2,152.4,11.8,8.0,61.9,55.4,144.8,7.6,19.5,1863.0,21.0,--
"March 16, 2022 12:19:20 PM",177.2,26.3,14.2,152.0,11.8,8.0,61.9,55.4,144.4,7.6,19.6,1859.0,20.0,--
"March 5, 2022 9:25:48 AM",178.4,26.4,14.3,152.8,11.9,9.0,61.8,55.3,145.2,7.6,19.5,1867.0,21.0,--
"March 2, 2022 8:50:41 AM",182.4,27.0,14.8,155.4,12.2,9.0,61.5,55.0,147.8,7.8,19.4,1892.0,21.0,--
